,median_price
All Downtown,3650
Midtown,3500
All Upper East Side,3000
All Upper Manhattan,2379
All Upper West Side,3375
Astoria,2275
Auburndale,
Bath Beach,1900
Battery Park City,4025
Bay Ridge,2100
Baychester,
Bayside,2500
Bedford Park,1450
Bedford-Stuyvesant,2400
Bellerose,
Belmont,1775
Bensonhurst,1725
Bergen Beach,2000
Boerum Hill,2900
Borough Park,2025
Briarwood,1695
Brighton Beach,2300
Bronx,1700
Bronxwood,1450
Brooklyn,2500
Brooklyn Heights,3400
Brookville,
Brownsville,1700
Bushwick,2488
Cambria Heights,
Canarsie,1825
Carroll Gardens,2900
Castle Hill,1625
Central Harlem,2500
Central Park South,7500
Central Queens,2195
Chelsea,3916
Chinatown,3000
City Island,
Civic Center,
Clearview,
Clinton Hill,2600
Co-op City,
Cobble Hill,2845
College Point,2200
Columbia St Waterfront District,2700
Concourse,1550
Coney Island,2200
Corona,1850
Country Club,
Crotona Park East,
Crown Heights,2291
DUMBO,4354
Ditmas Park,1900
Douglaston,
Downtown Brooklyn,3067
Dyker Heights,2200
East Brooklyn,2395
East Elmhurst,
East Flatbush,1850
East Harlem,2379
East New York,2000
East Tremont,
East Village,3000
Eastchester,
Edenwald,
Elmhurst,1825
Financial District,3488
Flatbush,1895
Flatiron,4605
Flatlands,
Floral Park,
Flushing,2150
Fordham,1495
Forest Hills,2150
Fort Greene,2723
Fresh Meadows,
Gerritsen Beach,
Glen Oaks,
Glendale,2078
Gowanus,3000
Gramercy Park,3395
Gravesend,1773
Greenpoint,2800
Greenwich Village,3800
Greenwood,2100
Hamilton Heights,2450
Highbridge,1549
Hillcrest,
Hollis,
Howard Beach,
Hunts Point,
Inwood,1795
Jackson Heights,1950
Jamaica,1950
Jamaica Estates,2025
Jamaica Hills,1613
Kensington,2100
Kew Gardens,2000
Kew Gardens Hills,2007
Kingsbridge,2000
Laconia,
Laurelton,
Little Italy,3150
Little Neck,
Long Island City,2992
Longwood,
Lower East Side,2900
Manhattan,3254
Manhattan Beach,
Marble Hill,
Marine Park,2050
Maspeth,2100
Melrose,
Middle Village,2025
Midtown,3950
Midtown East,3304
Midtown South,3950
Midtown West,3331
Midwood,1830
Mill Basin,
Morningside Heights,3208
Morris Heights,1600
Morris Park,1500
Morrisania,
Mott Haven,2367
NYC,2800
New Hyde Park,
Nolita,3800
North Brooklyn,2999
North Corona,
Northeast Queens,1999
Northwest Brooklyn,2918
Northwest Queens,2350
Norwood,1463
Oakland Gardens,1725
Ocean Parkway,
Old Mill Basin,
Ozone Park,
Park Slope,2800
Parkchester,1550
Pelham Bay,1500
Pelham Gardens,
Pelham Parkway,
Pomonok,
Port Morris,
Prospect Heights,2650
Prospect Lefferts Gardens,2154
Prospect Park,2600
Prospect Park South,1973
Queens,2250
Queens Village,
Red Hook,2375
Rego Park,2370
Richmond Hill,
Ridgewood,2397
Riverdale,2200
Rockaway All,1875
Roosevelt Island,3386
Rosedale,
Schuylerville,
Seagate,
Sheepshead Bay,1790
Soho,5250
Soundview,1675
South Brooklyn,1960
South Jamaica,
South Ozone Park,
South Queens,1900
South Richmond Hill,
Springfield Gardens,
St. Albans,
Staten Island,1980
Stuyvesant Town/PCV,3879
Sunnyside,1995
Sunset Park,1960
The Rockaways,1875
Throgs Neck,
Tremont,1350
Tribeca,8000
University Heights,1450
Upper East Side,3000
Upper West Side,3375
Utopia,
Van Nest,
Wakefield,1375
Washington Heights,2215
West Harlem,2600
West Village,3550
Westchester Village,
Whitestone,2350
Williamsbridge,
Williamsburg,3062
Windsor Terrace,2599
Woodhaven,1625
Woodlawn,
Woodside,2000
Woodstock,
